Unidade,Unidade Superior,Relacionamento Interpessoal,Liderança,Organização,Responsabilidade,Flexibilidade,Disponibilidade,Comunicação,Gestão de Materiais,Atualização,Conhecimento
Auditoria Interna,Reitoria,4,4,4,5,5,5,4,5,5,5
Auditoria Interna,Reitoria,5,5,5,5,5,5,4,5,5,5
Auditoria Interna,Reitoria,4,5,4,4,4,4,4,5,5,5
Auditoria Interna,Reitoria,4,4,4,5,5,5,4,5,5,4
Auditoria Interna,Reitoria,5,5,5,5,5,5,5,5,5,5
Biblioteca Central,Reitoria,5,5,5,5,5,5,5,5,5,5
Biblioteca Central,Reitoria,5,5,4,4,5,5,4,5,4,4
Biblioteca Central,Reitoria,5,5,5,5,5,5,5,5,5,5
Biblioteca Central,Reitoria,5,5,5,5,5,5,5,5,5,5
Centro de Artes,Administração dos Centros,5,5,5,5,5,5,5,5,5,5
Centro de Artes,Administração dos Centros,5,5,5,5,5,4,5,5,5,5
Centro de Artes,Administração dos Centros,5,5,5,5,5,5,5,5,5,5
Centro de Artes,Administração dos Centros,5,4,4,5,4,5,5,5,5,4
Centro de Artes,Administração dos Centros,3,3,4,4,3,3,3,5,5,5
Centro de Artes,Administração dos Centros,5,5,5,5,5,5,5,5,5,5
Centro de Artes,Administração dos Centros,4,4,4,4,4,3,4,4,4,4
Centro de Artes,Administração dos Centros,5,5,4,5,5,5,5,5,5,5
Centro de Artes,Administração dos Centros,4,4,4,4,5,4,5,4,4,4
Centro de Artes,Administração dos Centros,5,5,5,5,5,5,5,5,5,5
Centro de Artes,Administração dos Centros,5,5,4,5,4,5,4,5,5,5
Centro de Artes,Administração dos Centros,4,4,5,5,5,5,5,5,5,5
Centro de Artes,Administração dos Centros,5,5,5,5,5,5,5,5,5,5
Centro de Artes,Administração dos Centros,5,5,5,5,5,5,5,5,5,5
Centro de Artes,Administração dos Centros,5,5,5,5,5,5,5,5,5,5
Centro de Artes,Administração dos Centros,5,5,5,5,5,5,5,4,5,5
Centro de Artes,Administração dos Centros,4,3,4,4,3,3,5,5,5,5
Centro de Artes,Administração dos Centros,5,5,5,5,5,5,5,5,5,5
Centro de Artes,Administração dos Centros,5,5,5,5,5,5,5,5,5,5
Centro de Artes,Administração dos Centros,5,5,5,5,5,5,5,5,5,5
Centro de Artes,Administração dos Centros,5,5,5,5,5,5,5,5,5,5
